occupation,category,median_pay,num_jobs,outlook_pct,education,work_experience,training,description,url,ai_score,ai_reasoning
Computer Systems Analysts,Computer And Information Technology,103790,521100,9,"97,430",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,8,"System analysis, requirements gathering, and documentation — digital work."
Database Administrators and Architects,Computer And Information Technology,123100,144900,4,"83,780",See How to Become One,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,8,"Database design, query optimization, and administration tasks are heavily digital. AI can generate SQL, optimize schemas, and automate routine DBA tasks."
Information Security Analysts,Computer And Information Technology,124910,182800,29,Bachelor's degree,Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,6,"AI can automate threat detection and response, but security requires contextual judgment, incident response, and adversarial thinking."
Network and Computer Systems Administrators,Computer And Information Technology,96800,331500,-4,"83,620",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,7,System management — increasingly automated with AI ops tools.
"Software Developers, Quality Assurance Analysts, and Testers",Computer And Information Technology,131450,1895500,15,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,9,"Primarily screen-based digital work producing code, tests, and documentation. AI coding assistants can already generate, review, and debug code at high quality, directly automating core tasks."
Web Developers and Digital Designers,Computer And Information Technology,95380,214900,7,"82,080",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,8,Web development and digital design are tasks where AI coding and design tools are already highly capable.
Boilermakers,Construction And Extraction,73340,10400,-2,High school diploma or equivalent,None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,2,Physical fabrication and repair of boilers.
Masonry Workers,Construction And Extraction,56600,294300,2,See How to Become One,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,1,Physical brickwork and stonework.
Carpenters,Construction And Extraction,59310,959000,4,High school diploma or equivalent,None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,2,"Physical construction work requiring manual skills, spatial reasoning, and work in varied environments."
Construction and Building Inspectors,Construction And Extraction,72120,147600,-1,"69,980",5 years or more,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,4,Physical site inspections with digital reporting.
Construction Equipment Operators,Construction And Extraction,58320,539500,4,"51,260",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,2,Physical operation of heavy machinery.
Construction Laborers and Helpers,Construction And Extraction,46050,1649100,7,See How to Become One,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,1,"Physical labor in unpredictable outdoor environments. Manual material handling, site cleanup, and physical tasks resist automation."
"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction And Extraction,58800,118600,4,No formal educational credential,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,1,Physical installation work.
Electricians,Construction And Extraction,62350,818700,9,"$77,080",None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,2,Hands-on electrical installation and repair in physical environments. Requires manual dexterity and spatial reasoning.
Elevator and Escalator Installers and Repairers,Construction And Extraction,106580,24200,5,"97,910",None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,2,Physical installation and repair.
Glaziers,Construction And Extraction,55440,60500,3,High school diploma or equivalent,None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,1,Physical glass installation.
Hazardous Materials Removal Workers,Construction And Extraction,48490,51300,1,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,1,Physical hazmat cleanup in dangerous environments.
Insulation Workers,Construction And Extraction,50730,67400,4,See How to Become One,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,1,Physical insulation installation.
Oil and Gas Workers,Construction And Extraction,52610,115900,1,No formal educational credential,See How to Become One,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/oil-and-gas-workers.htm,2,Physical extraction work.
"Painters, Construction and Maintenance",Construction And Extraction,48660,342200,4,"$67,180",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,1,Physical painting work.
"Plumbers, Pipefitters, and Steamfitters",Construction And Extraction,62970,504500,4,"$69,160",None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,2,Physical installation and repair work. Requires navigating building interiors and working with physical materials.
Roofers,Construction And Extraction,50970,166700,6,No formal educational credential,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,0,Purely physical work at heights in outdoor environments. Zero digital output. Among the least automatable occupations.
Sheet Metal Workers,Construction And Extraction,60850,127000,2,"$69,310",None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,2,Physical metalwork.
Solar Photovoltaic Installers,Construction And Extraction,51860,28600,42,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,2,Physical installation of solar panels.
Ironworkers,Construction And Extraction,61940,85100,4,High school diploma or equivalent,None,Apprenticeship,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,2,Physical structural iron work at height.
Flooring Installers and Tile and Stone Setters,Construction And Extraction,52000,112300,6,No formal educational credential,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,1,Physical flooring installation.
Adult Basic and Secondary Education and ESL Teachers,Education Training And Library,59950,40900,-14,25-3011,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,5,Teaching with AI-assistable content creation and assessment.
Career and Technical Education Teachers,Education Training And Library,62910,239600,-1,25-2032,Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,4,Hands-on skill instruction. Lecture content is AI-assistable.
"Archivists, Curators, and Museum Workers",Education Training And Library,57100,40200,6,"60,240",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,5,"Digital cataloging is automatable, but physical preservation and exhibition design are not."
High School Teachers,Education Training And Library,64580,1094500,-2,25-2031,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,5,Classroom management and student interaction are physical. Lesson planning and grading can be AI-assisted.
Instructional Coordinators,Education Training And Library,74720,232600,1,"62,800",5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,6,Curriculum development and training — tasks AI can assist with significantly.
Kindergarten and Elementary School Teachers,Education Training And Library,62310,1539800,-2,25-2021,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,4,"Heavy emphasis on in-person care, socialization, and hands-on activities for young children."
Librarians and Library Media Specialists,Education Training And Library,64320,142100,2,"60,510",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/librarians.htm,6,Information services and cataloging are AI-assistable. Community engagement less so.
Library Technicians and Assistants,Education Training And Library,37540,163100,-7,18.25,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,5,Collection management and patron services. Routine tasks are automatable.
Middle School Teachers,Education Training And Library,62970,633700,-2,25-2022,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,5,Classroom teaching with AI-assistable planning and grading.
Postsecondary Teachers,Education Training And Library,83980,1415600,7,25-1081,See How to Become One,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,5,"Teaching requires interpersonal engagement, but lecture prep, grading, and content creation are AI-assistable."
Preschool Teachers,Education Training And Library,37120,555100,4,25-2011,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm,3,Primarily physical care and socialization of young children. Minimal digital work component.
Special Education Teachers,Education Training And Library,64270,559500,-1,25-2059,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,4,Individualized instruction requiring close personal interaction.
Teacher Assistants,Education Training And Library,35240,1422800,-1,"Some college, no degree",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,4,Classroom support with some administrative tasks.
Tutors,Education Training And Library,40090,215500,1,"39,460",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/education-training-and-library/tutors.htm,6,One-on-one instruction. AI tutoring systems are a growing alternative.
Actors,Entertainment And Sports,48526,57000,0,"Some college, no degree",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,3,Physical performance and emotional expression. AI-generated content is emerging but live performance persists.
Athletes and Sports Competitors,Entertainment And Sports,62360,19100,5,"$84,460",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,1,Physical performance is the core product. Cannot be automated.
Coaches and Scouts,Entertainment And Sports,45920,306500,6,"37,790",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,3,In-person coaching and physical activity. Game analysis can be AI-assisted.
Dancers and Choreographers,Entertainment And Sports,51022,17000,5,25.26,See How to Become One,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,2,Physical performance art.
Music Directors and Composers,Entertainment And Sports,63670,47300,0,"56,850",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,6,AI can generate music and arrangements. Creative vision and live performance less automatable.
Musicians and Singers,Entertainment And Sports,88296,169800,1,30.50,None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,3,Live performance is physical. Recording and composition face AI competition.
Producers and Directors,Entertainment And Sports,83480,167000,5,Bachelor's degree,Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,5,"Creative vision and project management. AI can assist with editing, effects, and content generation."
"Umpires, Referees, and Other Sports Officials",Entertainment And Sports,38820,19300,6,"38,320",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,3,Physical presence required. AI assists with replay review.
Agricultural Workers,Farming Fishing And Forestry,35980,812600,-3,See How to Become One,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,1,"Physical planting, harvesting, and manual farm labor in outdoor environments."
Fishing and Hunting Workers,Farming Fishing And Forestry,,21900,-5,No formal educational credential,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,1,Physical work in natural environments.
Forest and Conservation Workers,Farming Fishing And Forestry,43680,10800,-5,"$43,680",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,2,Physical conservation work outdoors.
Logging Workers,Farming Fishing And Forestry,49540,44300,-2,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,1,Physical cutting and moving of timber in forests. Highly physical outdoor work.
Bartenders,Food Preparation And Serving,33530,756700,6,No formal educational credential,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,2,Physical drink preparation and social interaction. Requires in-person presence.
Chefs and Head Cooks,Food Preparation And Serving,60990,197300,7,High school diploma or equivalent,5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,3,Physical cooking with menu planning that AI can assist.
Cooks,Food Preparation And Serving,35760,2805100,5,16.35,See How to Become One,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,3,Physical food preparation with some recipe/menu planning that AI could assist with. Core work is manual.
Food and Beverage Serving and Related Workers,Food Preparation And Serving,31040,5030600,5,16.17,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,3,Physical serving tasks requiring in-person presence. Limited digital component.
Food Preparation Workers,Food Preparation And Serving,34220,902700,-3,17.40,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,2,Physical food prep work.
Waiters and Waitresses,Food Preparation And Serving,33760,2329700,-1,No formal educational credential,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,3,In-person food service with social interaction. Some ordering systems can be automated but core service is physical.
Athletic Trainers,Healthcare,60250,33900,11,"62,030",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,3,Physical assessment and treatment of athletes.
Audiologists,Healthcare,92120,15800,9,"93,170",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/audiologists.htm,4,Clinical assessment with digital diagnostic tools.
Cardiovascular Technologists and Technicians,Healthcare,67260,64700,3,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/cardiovascular-technologists-and-technicians.htm,4,Equipment operation with physical patient interaction.
Chiropractors,Healthcare,79000,57200,10,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/chiropractors.htm,3,Hands-on physical treatment requiring manual manipulation.
Clinical Laboratory Technologists and Technicians,Healthcare,61890,351200,2,"62,470",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,5,Lab analysis and testing. Automation and AI can handle routine analyses.
Dental Assistants,Healthcare,47300,381900,6,"$53,660",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/dental-assistants.htm,3,Hands-on dental support work with some administrative tasks.
Dental Hygienists,Healthcare,94260,221600,7,"77,940",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,3,Hands-on dental care requiring physical patient interaction and manual dexterity.
Dentists,Healthcare,179210,149300,4,"$213,210",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/dentists.htm,4,Hands-on dental procedures. Diagnosis and treatment planning can be AI-assisted.
Diagnostic Medical Sonographers,Healthcare,89340,90000,13,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,4,"Hands-on imaging requiring patient positioning, but AI can assist with image interpretation."
Dietitians and Nutritionists,Healthcare,73850,90900,6,"74,000",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,5,Nutrition planning is AI-assistable. Patient counseling requires personal interaction.
EMTs and Paramedics,Healthcare,46350,282900,5,"$59,840",See How to Become One,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,2,Emergency medical response requiring physical presence and hands-on care in unpredictable environments.
Exercise Physiologists,Healthcare,58160,23900,9,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,4,Physical assessment and exercise prescription.
Genetic Counselors,Healthcare,98910,4000,9,Master's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,5,Genetic data interpretation (AI-assistable) combined with patient counseling.
Health Information Technologists and Medical Registrars,Healthcare,67310,41900,15,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,7,Digital health records management and coding — tasks AI handles well.
Home Health and Personal Care Aides,Healthcare,34900,4347700,17,High school diploma or equivalent,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,2,"Core work is physical — bathing, dressing, feeding, mobility assistance. Requires in-person presence and manual dexterity."
Licensed Practical and Licensed Vocational Nurses,Healthcare,62340,651400,3,"$66,370",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,3,Hands-on nursing care requiring physical patient interaction.
Massage Therapists,Healthcare,57950,168000,15,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/massage-therapists.htm,1,Purely hands-on physical therapy requiring human touch and manual dexterity.
Medical Assistants,Healthcare,44200,811000,12,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-assistants.htm,4,Mix of administrative tasks (AI-assistable) and hands-on clinical support.
Medical Dosimetrists,Healthcare,138110,4800,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm,6,Radiation dose calculations and treatment planning — computational tasks.
Medical Records Specialists,Healthcare,50250,194800,7,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,8,Digital record management and coding — highly automatable.
Medical Transcriptionists,Healthcare,37550,43900,-5,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,10,Fully digital output with no physical component. Speech-to-text AI already automates this task almost completely.
